label,channel,duration_s,packets_sent,throughput_bps_send,rtt_ms
Sender-Small reliable batch,Reliable,2.011085271835327,10,45.249200157958946,100.62012672424316
Sender-Large reliable batch,Reliable,2.3479061126708984,50,209.1225016836193,119.97610569000244
Sender-Rapid reliable messages,Reliable,6.8056206703186035,200,307.3929772671364,128.43058466911316
Sender-Unreliable messages,Unreliable,21.21670961380005,200,98.60152861022776,0.0
