label,channel,duration_s,packets_received,latency_ms,jitter_ms,throughput_bps_recv,pdr_pct
Receiver-Large reliable batch,Reliable,7.602855920791626,10,51.69529914855957,2.859631403056246,11.969186440997936,100.0
Receiver-Rapid reliable messages,Reliable,16.61770224571228,10,51.69529914855957,2.859631403056246,5.476088008706494,100.0
Receiver-Small reliable batch,Reliable,2.5928611755371094,10,51.69529914855957,2.859631403056246,35.096364147281975,100.0
Receiver-Unreliable messages,Unreliable,40.15430402755737,10,51.69529914855957,2.859631403056246,2.266257682801522,100.0
